2025-04-11 12:34:22.669920,BTC-USD,N/A,N/A,N/A
2025-04-11 12:39:42.068554,BTC-USD,N/A,N/A,N/A
2025-04-11 12:45:01.420199,BTC-USD,N/A,N/A,N/A
2025-04-11 12:48:00.705232,BTC-USD,BLOCCATO,N/A,N/A
2025-04-11 12:58:01.565340,BTC-USD,BLOCCATO,N/A,N/A
2025-04-11 12:59:23.067246,BTC-USD,BLOCCATO,N/A,N/A
2025-04-11 14:41:55.320959,BTC-USD,N/A,N/A,N/A
2025-04-11 14:47:14.406046,BTC-USD,N/A,N/A,N/A
2025-04-11 14:52:33.822315,BTC-USD,N/A,N/A,N/A
2025-04-11 15:40:23.427131,BTC-USD,N/A,N/A,N/A
2025-04-11 15:45:42.623990,BTC-USD,N/A,N/A,N/A
2025-04-11 15:50:56.003925,BTC-USD,BLOCCATO,N/A,N/A
2025-04-11 15:51:01.694717,BTC-USD,N/A,N/A,N/A
2025-04-11 15:56:21.005239,BTC-USD,N/A,N/A,N/A
2025-04-11 16:01:40.364695,BTC-USD,N/A,N/A,N/A
2025-04-11 16:06:59.781728,BTC-USD,N/A,N/A,N/A
2025-04-11 16:12:19.189311,BTC-USD,N/A,N/A,N/A
2025-04-11 16:17:38.408240,BTC-USD,N/A,N/A,N/A
2025-04-11 16:22:56.416516,BTC-USD,N/A,N/A,N/A
2025-04-11 16:28:14.449825,BTC-USD,N/A,N/A,N/A
2025-04-11 16:33:32.572010,BTC-USD,N/A,N/A,N/A
2025-04-11 16:38:50.853580,BTC-USD,N/A,N/A,N/A
2025-04-11 16:44:09.339252,BTC-USD,N/A,N/A,N/A
2025-04-11 16:49:27.860247,BTC-USD,N/A,N/A,N/A
2025-04-11 16:54:46.062933,BTC-USD,N/A,N/A,N/A
2025-04-11 17:00:04.064706,BTC-USD,N/A,N/A,N/A
2025-04-11 17:05:22.006481,BTC-USD,N/A,N/A,N/A
2025-04-11 17:10:40.193724,BTC-USD,N/A,N/A,N/A
2025-04-11 17:15:58.318581,BTC-USD,N/A,N/A,N/A
2025-04-11 17:21:16.455773,BTC-USD,N/A,N/A,N/A
2025-04-11 17:26:34.372191,BTC-USD,N/A,N/A,N/A
2025-04-11 17:47:44.797151,BTC-USD,N/A,N/A,N/A
2025-04-11 17:53:02.871490,BTC-USD,N/A,N/A,N/A
2025-04-11 17:58:20.851361,BTC-USD,N/A,N/A,N/A
2025-04-11 18:35:27.975523,BTC-USD,N/A,N/A,N/A
